name,address,ward,district,city,phone,website,price_level,rating,lat,lon
Phở Thìn Lò Đúc,13 Lò Đúc,Phạm Đình Hổ,Hai Bà Trưng,Hà Nội,+84 24 3821 2708,https://phothinloduc.vn,2,4.5,21.01776,105.8534
Bún Chả Hương Liên,24 Lê Văn Hưu,Phạm Đình Hổ,Hai Bà Trưng,Hà Nội,+84 24 3943 4106,https://buncha-huonglien.business.site,2,4.4,21.01481,105.8506
Chả Cá Lã Vọng,14 Chả Cá,Hàng Đào,Hoàn Kiếm,Hà Nội,+84 24 3825 3929,,3,4.0,21.03576,105.8489
Quán Ăn Ngon,18 Phan Bội Châu,Cửa Nam,Hoàn Kiếm,Hà Nội,+84 24 3942 8162,https://quananngon.com.vn,3,4.3,21.02666,105.8426
Phở Gia Truyền Bát Đàn,49 Bát Đàn,Hàng Bồ,Hoàn Kiếm,Hà Nội,+84 24 3828 5489,,2,4.2,21.03685,105.8463
Xôi Yến,35B Nguyễn Hữu Huân,Lý Thái Tổ,Hoàn Kiếm,Hà Nội,+84 24 3935 2421,,1,4.2,21.03363,105.8536
Bánh Mì 25,25 Hàng Cá,Hàng Bồ,Hoàn Kiếm,Hà Nội,+84 94 471 02 25,https://banhmi25.net,1,4.6,21.03698,105.8476
Cà phê Giảng (Egg Coffee),39 Nguyễn Hữu Huân,Lý Thái Tổ,Hoàn Kiếm,Hà Nội,+84 24 3933 9888,,1,4.5,21.03377,105.8536
Bún Đậu Mắm Tôm Mã Mây,1 Mã Mây,Hàng Buồm,Hoàn Kiếm,Hà Nội,, ,1,4.1,21.03459,105.8536
Phở 10 Lý Quốc Sư,10 Lý Quốc Sư,Hàng Trống,Hoàn Kiếm,Hà Nội,+84 24 3928 6338,,2,4.3,21.03145,105.8497
